listing_id,price,borough,neighborhood,price_per_month,price_range,latitude,longitude
33734301,70.0,Manhattan, Washington Heights,2129.1666666666665,Average,40.85768,-73.92855
33734483,250.0,Manhattan, West Village,7604.166666666667,Expensive,40.73326,-74.00511
33735398,159.0,Brooklyn, Bushwick,4836.25,Average,40.68808,-73.90985
33736401,155.0,Manhattan, West Village,4714.583333333333,Average,40.73272,-74.00797
33738412,300.0,Manhattan, Hell's Kitchen,9125.0,Expensive,40.75823,-73.99066
33740728,75.0,Brooklyn, Williamsburg,2281.25,Average,40.71102,-73.95829
33740789,51.0,Manhattan, Harlem,1551.25,Budget,40.81482,-73.95192
33741107,80.0,Queens, Fresh Meadows,2433.3333333333335,Average,40.72894,-73.78003
33741545,700.0,Queens, Astoria,21291.666666666668,Extravagant,40.76001,-73.92313
33742429,90.0,Brooklyn, Williamsburg,2737.5,Average,40.71439,-73.9409
33742984,64.0,Brooklyn, Clinton Hill,1946.6666666666667,Budget,40.69235,-73.96102
33743424,549.0,Manhattan, Midtown,16698.75,Extravagant,40.76523,-73.98157
33743807,100.0,Brooklyn, Bushwick,3041.6666666666665,Average,40.7077,-73.9225
33745270,550.0,Brooklyn, Brooklyn Heights,16729.166666666668,Extravagant,40.6981,-73.9958
33745352,65.0,Queens, Flushing,1977.0833333333333,Budget,40.75966,-73.81469
33745548,99.0,Manhattan, Chelsea,3011.25,Average,40.74922,-73.9968
33745550,199.0,Manhattan, Chelsea,6052.916666666667,Expensive,40.75094,-73.99662
33745608,154.0,Manhattan, West Village,4684.166666666667,Average,40.73131,-74.00619
33746075,50.0,Queens, Briarwood,1520.8333333333333,Budget,40.70655,-73.80842
33746153,70.0,Bronx, Fordham,2129.1666666666665,Average,40.8667,-73.89115
33746705,60.0,Manhattan, Washington Heights,1825.0,Budget,40.84377,-73.93666
33747879,26.0,Queens, Flushing,790.8333333333334,Budget,40.76,-73.82466
33748535,65.0,Brooklyn, East New York,1977.0833333333333,Budget,40.66195,-73.8936
33749115,250.0,Manhattan, Midtown,7604.166666666667,Expensive,40.75452,-73.97092
33749547,70.0,Brooklyn, Williamsburg,2129.1666666666665,Average,40.70621,-73.93663
33749699,65.0,Brooklyn, Bushwick,1977.0833333333333,Budget,40.68523,-73.90665
33749769,25.0,Queens, Corona,760.4166666666666,Budget,40.74116,-73.86705
33750981,115.0,Queens, Astoria,3497.9166666666665,Average,40.7684,-73.92066
33751577,325.0,Manhattan, Financial District,9885.416666666666,Expensive,40.70563,-74.00919
33751903,75.0,Brooklyn, Williamsburg,2281.25,Average,40.71839,-73.94621
33752082,50.0,Queens, Maspeth,1520.8333333333333,Budget,40.73612,-73.89519
33753198,65.0,Brooklyn, Crown Heights,1977.0833333333333,Budget,40.67468,-73.96149
33760723,70.0,Staten Island, Arden Heights,2129.1666666666665,Average,40.55762,-74.19626
33763207,39.0,Brooklyn, Borough Park,1186.25,Budget,40.63112,-73.99532
33766115,170.0,Manhattan, West Village,5170.833333333333,Average,40.73684,-74.00844
33766179,80.0,Brooklyn, Flatlands,2433.3333333333335,Average,40.6316,-73.94559
33767467,71.0,Brooklyn, Williamsburg,2159.5833333333335,Average,40.70734,-73.96417
33769887,100.0,Queens, Ozone Park,3041.6666666666665,Average,40.6752,-73.8552
33769930,70.0,Manhattan, Inwood,2129.1666666666665,Average,40.87079,-73.91961
33771697,274.0,Manhattan, Upper West Side,8334.166666666666,Expensive,40.7762,-73.98028
33772674,140.0,Brooklyn, Boerum Hill,4258.333333333333,Average,40.68581,-73.9833
33772781,130.0,Manhattan, East Village,3954.1666666666665,Average,40.73036,-73.98701
33773521,49.0,Queens, Queens Village,1490.4166666666667,Budget,40.70657,-73.72932
33774081,100.0,Queens, Springfield Gardens,3041.6666666666665,Average,40.66377,-73.76785
33774162,85.0,Manhattan, Hell's Kitchen,2585.4166666666665,Average,40.76483,-73.98975
33774285,65.0,Brooklyn, East New York,1977.0833333333333,Budget,40.66641,-73.89133
33775190,150.0,Manhattan, Midtown,4562.5,Average,40.7528,-73.97092
33775845,139.0,Manhattan, Little Italy,4227.916666666667,Average,40.7203,-73.99663
33775898,110.0,Manhattan, Harlem,3345.8333333333335,Average,40.80717,-73.94386
33776235,180.0,Manhattan, East Village,5475.0,Expensive,40.72241,-73.98554
33776470,300.0,Manhattan, Midtown,9125.0,Expensive,40.76494,-73.97822
33776553,300.0,Manhattan, East Harlem,9125.0,Expensive,40.79834,-73.94337
33776576,200.0,Queens, Astoria,6083.333333333333,Expensive,40.75845,-73.9111
33777889,69.0,Brooklyn, Williamsburg,2098.75,Budget,40.70403,-73.9428
33778143,45.0,Queens, East Elmhurst,1368.75,Budget,40.76111,-73.88408
33778352,119.0,Manhattan, Midtown,3619.5833333333335,Average,40.75625,-73.96416
33779447,125.0,Queens, Astoria,3802.0833333333335,Average,40.76829,-73.92625
33780071,145.0,Manhattan, Upper East Side,4410.416666666667,Average,40.78582,-73.95546
33780216,225.0,Queens, Astoria,6843.75,Expensive,40.76649,-73.92356
33780377,125.0,Brooklyn, Sea Gate,3802.0833333333335,Average,40.57453,-74.00828
33781074,100.0,Brooklyn, Crown Heights,3041.6666666666665,Average,40.67533,-73.94889
33781532,800.0,Manhattan, Midtown,24333.333333333332,Extravagant,40.74615,-73.98872
33782555,53.0,Manhattan, Chinatown,1612.0833333333333,Budget,40.71483,-73.99801
33782653,100.0,Brooklyn, East Flatbush,3041.6666666666665,Average,40.64695,-73.93121
33783445,53.0,Queens, Flushing,1612.0833333333333,Budget,40.76409,-73.82928
33784647,89.0,Brooklyn, Williamsburg,2707.0833333333335,Average,40.71704,-73.95799
33785223,90.0,Queens, Astoria,2737.5,Average,40.75839,-73.91191
33785477,66.0,Brooklyn, Bushwick,2007.5,Budget,40.69682,-73.93067
33787433,115.0,Bronx, Port Morris,3497.9166666666665,Average,40.80143,-73.91353
33787438,120.0,Manhattan, Kips Bay,3650.0,Average,40.74469,-73.98037
33787778,165.0,Manhattan, Morningside Heights,5018.75,Average,40.81342,-73.9565
33788019,115.0,Bronx, Port Morris,3497.9166666666665,Average,40.80273,-73.91519
33789647,120.0,Queens, Astoria,3650.0,Average,40.76429,-73.90967
33791537,137.0,Queens, Arverne,4167.083333333333,Average,40.59908,-73.79133
33796136,150.0,Queens, Long Island City,4562.5,Average,40.74613,-73.94141
33798718,199.0,Manhattan, Hell's Kitchen,6052.916666666667,Expensive,40.76124,-74.00059
33800016,100.0,Manhattan, Midtown,3041.6666666666665,Average,40.75661,-73.96396
33800548,115.0,Queens, Flushing,3497.9166666666665,Average,40.75908,-73.80845
33800823,349.0,Manhattan, Upper West Side,10615.416666666666,Expensive,40.7867,-73.97594
33800856,110.0,Manhattan, Hell's Kitchen,3345.8333333333335,Average,40.76037,-73.99171
33801117,75.0,Brooklyn, Bedford-Stuyvesant,2281.25,Average,40.68129,-73.93437
33801421,60.0,Brooklyn, Bedford-Stuyvesant,1825.0,Budget,40.69266,-73.94431
33801781,170.0,Manhattan, Lower East Side,5170.833333333333,Average,40.72059,-73.98514
33802074,56.0,Bronx, Williamsbridge,1703.3333333333333,Budget,40.87724,-73.85047
33804180,85.0,Staten Island, Prince's Bay,2585.4166666666665,Average,40.52293,-74.21238
33804214,100.0,Manhattan, Kips Bay,3041.6666666666665,Average,40.74263,-73.97639
33806317,117.0,Manhattan, Lower East Side,3558.75,Average,40.72152,-73.98625
33808226,120.0,Manhattan, Lower East Side,3650.0,Average,40.7215,-73.99171
33808465,100.0,Brooklyn, Midwood,3041.6666666666665,Average,40.61326,-73.94742
33808634,31.0,Brooklyn, Fort Greene,942.9166666666666,Budget,40.68557,-73.97288
33810134,78.0,Manhattan, Upper East Side,2372.5,Average,40.77181,-73.953
33810572,85.0,Manhattan, Hell's Kitchen,2585.4166666666665,Average,40.76661,-73.99082
33810599,160.0,Manhattan, Financial District,4866.666666666667,Average,40.71138,-74.00834
33812239,290.0,Manhattan, East Village,8820.833333333334,Expensive,40.72919,-73.98151
33820675,50.0,Queens, Kew Gardens,1520.8333333333333,Budget,40.70927,-73.82948
33822605,35.0,Brooklyn, Bedford-Stuyvesant,1064.5833333333333,Budget,40.6783,-73.91055
33823598,67.0,Queens, St. Albans,2037.9166666666667,Budget,40.68687,-73.76809
33825679,265.0,Brooklyn, Williamsburg,8060.416666666667,Expensive,40.70961,-73.95598
33826205,180.0,Brooklyn, Bedford-Stuyvesant,5475.0,Expensive,40.68444,-73.95434
33826775,180.0,Brooklyn, Williamsburg,5475.0,Expensive,40.70783,-73.94346
33827823,55.0,Manhattan, Harlem,1672.9166666666667,Budget,40.8273,-73.94952
33828501,250.0,Manhattan, Upper East Side,7604.166666666667,Expensive,40.76996,-73.95771
33828528,60.0,Manhattan, Upper West Side,1825.0,Budget,40.7999,-73.95962
33828807,65.0,Brooklyn, Borough Park,1977.0833333333333,Budget,40.63402,-74.0025
33829141,60.0,Manhattan, Upper West Side,1825.0,Budget,40.79834,-73.96117
33829538,420.0,Manhattan, Theater District,12775.0,Extravagant,40.75746,-73.98795
33829619,60.0,Queens, Kew Gardens,1825.0,Budget,40.70657,-73.82903
33830012,155.0,Brooklyn, Windsor Terrace,4714.583333333333,Average,40.6602,-73.98052
33830460,100.0,Manhattan, East Village,3041.6666666666665,Average,40.72554,-73.98875
33831113,255.0,Manhattan, Financial District,7756.25,Expensive,40.70713,-74.01205
33831116,229.0,Manhattan, Financial District,6965.416666666667,Expensive,40.70621,-74.01199
33831120,235.0,Manhattan, Financial District,7147.916666666667,Expensive,40.70761,-74.01078
33831129,175.0,Brooklyn, Williamsburg,5322.916666666667,Average,40.71339,-73.96112
33831236,40.0,Brooklyn, East Flatbush,1216.6666666666667,Budget,40.65239,-73.94454
33832027,60.0,Queens, Forest Hills,1825.0,Budget,40.7201,-73.83723
33832840,50.0,Brooklyn, Bushwick,1520.8333333333333,Budget,40.7011,-73.92194
33833257,60.0,Brooklyn, Bedford-Stuyvesant,1825.0,Budget,40.67994,-73.9135
33833470,390.0,Manhattan, Financial District,11862.5,Extravagant,40.70779,-74.01249
33833596,140.0,Manhattan, Upper West Side,4258.333333333333,Average,40.80238,-73.96737
33833636,475.0,Manhattan, Financial District,14447.916666666666,Extravagant,40.70709,-74.01037
33833725,150.0,Manhattan, SoHo,4562.5,Average,40.72825,-74.0033
33833887,228.0,Manhattan, Financial District,6935.0,Expensive,40.70701,-74.01117
33834873,70.0,Brooklyn, Williamsburg,2129.1666666666665,Average,40.71216,-73.94246
33835358,54.0,Brooklyn, Bushwick,1642.5,Budget,40.70697,-73.92401
33835470,55.0,Brooklyn, Bedford-Stuyvesant,1672.9166666666667,Budget,40.67965,-73.91168
33836115,79.0,Manhattan, Upper East Side,2402.9166666666665,Average,40.76853,-73.96407
33845173,64.0,Brooklyn, Crown Heights,1946.6666666666667,Budget,40.66945,-73.95717
33845393,65.0,Brooklyn, Crown Heights,1977.0833333333333,Budget,40.66999,-73.95959
33846501,90.0,Brooklyn, East Flatbush,2737.5,Average,40.64683,-73.93003
33850135,162.0,Manhattan, Chelsea,4927.5,Average,40.74034,-74.00084
33850661,105.0,Manhattan, Hell's Kitchen,3193.75,Average,40.76921,-73.99239
33851532,420.0,Manhattan, Hell's Kitchen,12775.0,Extravagant,40.76347,-73.98776
33851889,45.0,Manhattan, Inwood,1368.75,Budget,40.86202,-73.92771
33852169,119.0,Manhattan, East Village,3619.5833333333335,Average,40.72485,-73.98422
33852557,90.0,Manhattan, East Harlem,2737.5,Average,40.7958,-73.93766
33852604,120.0,Brooklyn, Prospect-Lefferts Gardens,3650.0,Average,40.6605,-73.94767
33853158,160.0,Brooklyn, Brighton Beach,4866.666666666667,Average,40.57859,-73.95962
33853642,65.0,Bronx, Woodlawn,1977.0833333333333,Budget,40.90406,-73.86286
33853876,100.0,Manhattan, Hell's Kitchen,3041.6666666666665,Average,40.75939,-73.99501
33853889,35.0,Manhattan, Washington Heights,1064.5833333333333,Budget,40.85719,-73.93048
33854066,55.0,Brooklyn, Bedford-Stuyvesant,1672.9166666666667,Budget,40.68078,-73.91283
33854406,85.0,Bronx, Parkchester,2585.4166666666665,Average,40.83516,-73.86024
33855726,88.0,Brooklyn, Bushwick,2676.6666666666665,Average,40.68773,-73.91039
33855937,160.0,Manhattan, Upper East Side,4866.666666666667,Average,40.76236,-73.96482
33855990,70.0,Brooklyn, Bushwick,2129.1666666666665,Average,40.6897,-73.91146
33856310,76.0,Brooklyn, Bedford-Stuyvesant,2311.6666666666665,Average,40.68305,-73.92322
33856727,90.0,Brooklyn, Bushwick,2737.5,Average,40.70041,-73.92884
33856906,200.0,Manhattan, Nolita,6083.333333333333,Expensive,40.72202,-73.99491
33857172,59.0,Manhattan, Harlem,1794.5833333333333,Budget,40.82032,-73.94464
33866860,99.0,Manhattan, Chelsea,3011.25,Average,40.74945,-73.99511
33867882,65.0,Manhattan, Hell's Kitchen,1977.0833333333333,Budget,40.76335,-73.99051
33870097,150.0,Brooklyn, Williamsburg,4562.5,Average,40.71139,-73.9598
33870501,185.0,Brooklyn, Greenpoint,5627.083333333333,Expensive,40.72599,-73.95498
33871041,165.0,Manhattan, Financial District,5018.75,Average,40.70388,-74.0082
33873570,125.0,Brooklyn, East Flatbush,3802.0833333333335,Average,40.64418,-73.92556
33874579,150.0,Manhattan, Chelsea,4562.5,Average,40.75114,-73.99843
33877113,88.0,Queens, Jamaica,2676.6666666666665,Average,40.68787,-73.77727
33877682,99.0,Brooklyn, Gowanus,3011.25,Average,40.67435,-73.9891
33877798,151.0,Manhattan, Upper East Side,4592.916666666667,Average,40.77867,-73.95143
33877942,105.0,Brooklyn, Crown Heights,3193.75,Average,40.67637,-73.94309
33878676,345.0,Manhattan, Civic Center,10493.75,Expensive,40.71715,-74.00368
33880071,150.0,Manhattan, East Harlem,4562.5,Average,40.7866,-73.94225
33880238,57.0,Brooklyn, Bedford-Stuyvesant,1733.75,Budget,40.68482,-73.95136
33880820,65.0,Brooklyn, Bedford-Stuyvesant,1977.0833333333333,Budget,40.6943,-73.95004
33880913,200.0,Manhattan, Midtown,6083.333333333333,Expensive,40.75886,-73.96596
33881088,47.0,Manhattan, Washington Heights,1429.5833333333333,Budget,40.83532,-73.94428
33881136,100.0,Brooklyn, Crown Heights,3041.6666666666665,Average,40.6756,-73.9251
33881201,129.0,Manhattan, Greenwich Village,3923.75,Average,40.7277,-74.00104
33883497,150.0,Brooklyn, Bedford-Stuyvesant,4562.5,Average,40.67917,-73.94624
33884341,66.0,Brooklyn, Bushwick,2007.5,Budget,40.69612,-73.92918
33884349,35.0,Bronx, Kingsbridge,1064.5833333333333,Budget,40.86925,-73.89974
33885227,63.0,Brooklyn, Bushwick,1916.25,Budget,40.69814,-73.9286
33885308,65.0,Brooklyn, Williamsburg,1977.0833333333333,Budget,40.70867,-73.93891
33892511,150.0,Brooklyn, Greenpoint,4562.5,Average,40.73292,-73.95395
33896459,360.0,Manhattan, Hell's Kitchen,10950.0,Extravagant,40.77127,-73.99237
33897702,28.0,Brooklyn, Bushwick,851.6666666666666,Budget,40.69541,-73.90785
33897838,170.0,Brooklyn, Cobble Hill,5170.833333333333,Average,40.68834,-73.9989
33898321,61.0,Manhattan, East Village,1855.4166666666667,Budget,40.7284,-73.99053
33898799,79.0,Brooklyn, Bedford-Stuyvesant,2402.9166666666665,Average,40.69804,-73.94546
33899066,325.0,Manhattan, Lower East Side,9885.416666666666,Expensive,40.71697,-73.98605
33899850,28.0,Brooklyn, Bushwick,851.6666666666666,Budget,40.69606,-73.9095
33900104,100.0,Manhattan, East Harlem,3041.6666666666665,Average,40.78995,-73.94603
33900546,199.0,Queens, Long Island City,6052.916666666667,Expensive,40.74895,-73.9474
33900721,200.0,Manhattan, Upper East Side,6083.333333333333,Expensive,40.78202,-73.94826
33900911,300.0,Manhattan, Upper West Side,9125.0,Expensive,40.77318,-73.98836
33901138,81.0,Brooklyn, Bedford-Stuyvesant,2463.75,Average,40.69765,-73.94715
33902284,81.0,Brooklyn, Bedford-Stuyvesant,2463.75,Average,40.69952,-73.9451
33902619,81.0,Brooklyn, Bedford-Stuyvesant,2463.75,Average,40.69806,-73.94544
33902876,81.0,Brooklyn, Bedford-Stuyvesant,2463.75,Average,40.69741,-73.94555
33903016,100.0,Brooklyn, Cypress Hills,3041.6666666666665,Average,40.68892,-73.87167
33903300,165.0,Brooklyn, Bedford-Stuyvesant,5018.75,Average,40.68946,-73.94181
33903781,75.0,Brooklyn, Greenpoint,2281.25,Average,40.72215,-73.94317
33904680,92.0,Manhattan, Hell's Kitchen,2798.3333333333335,Average,40.76537,-73.98767
33905074,70.0,Queens, Elmhurst,2129.1666666666665,Average,40.73136,-73.87402
